"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc07g061790.3",11602.7536912055,-2.90397960121379,0.223624167726941,-8.51419424191514,1.67752624308921e-17,3.23278302954496e-16
"Solyc01g096230.3",1136.22324677616,-2.69858657422941,0.19981197741373,-8.50092470038632,1.88086352192677e-17,3.61598630635501e-16
"Solyc01g095320.3",80878.2855457074,-7.13403143052867,0.721733062773965,-8.49903066232363,1.91180404272304e-17,3.67254821116416e-16
"Solyc01g110600.2",212.155189404921,-4.29591073412792,0.387902064744727,-8.49675996516521,1.94956006707687e-17,3.73913242706187e-16
"Solyc02g082170.2",123.334294602664,-4.39633064891544,0.399733396125915,-8.49648961490723,1.95410404182776e-17,3.74194218798571e-16
"Solyc10g078740.2",3440.15730968487,-2.71548710657185,0.201986162484019,-8.49309222708548,2.01210502167713e-17,3.84992319507913e-16
"Solyc02g089680.3",3825.14716341102,-2.43236568039464,0.168889243647572,-8.48109476636427,2.23084817000585e-17,4.25498633594013e-16
"Solyc06g072740.1",1130.90443097271,-3.4005310133549,0.283306653875255,-8.4732602659304,2.38618630284609e-17,4.54767966834217e-16
"Solyc09g009590.1",1518.45896680738,-3.80894760863095,0.331959505152446,-8.46171766445126,2.63467755525122e-17,5.00547309750008e-16
"Solyc04g056630.3",4037.58777569963,-2.29459151706595,0.153339502972791,-8.44264844979746,3.10227055616107e-17,5.88457380378245e-16
"Solyc04g081460.2",222.783249851735,-3.3448111887797,0.27777495199492,-8.4414061524978,3.13542608869654e-17,5.94280053799535e-16
"Solyc09g075600.2",1934.8999462103,-8.91264521159521,0.937566651369877,-8.43955488394778,3.18548400575814e-17,6.0329472165479e-16
"Solyc01g098190.3",4907.24551431216,-2.99172845547216,0.236042830544002,-8.43799598099155,3.22824726387502e-17,6.10914826772151e-16
"Solyc09g098290.3",4174.18966489393,-2.12616398914468,0.133491033367581,-8.43625193943683,3.27676060892172e-17,6.19610304187811e-16
"Solyc12g005740.1",192.65379738537,-11.1561507730327,1.20735406639878,-8.41190753871053,4.03395834477974e-17,7.61004194847363e-16
"Solyc02g068120.3",1476.20730215298,-2.51629682514098,0.180375102113295,-8.40635324596287,4.22955975299324e-17,7.94802029477719e-16
"Solyc01g102330.3",7438.75206824951,-2.08629800048502,0.129276172324489,-8.40292515590861,4.35492263008916e-17,8.17088977319369e-16
"Solyc01g106000.3",885.266635270948,-2.64412300931158,0.195817966866672,-8.39618057331289,4.61236155192305e-17,8.63379777411096e-16
"Solyc09g090760.3",2703.85198936062,-3.01452538082809,0.240007074845059,-8.39360832229049,4.71444895978705e-17,8.81806296921161e-16
"Solyc03g032120.3",194.014966454274,-11.1659564389554,1.21291174245121,-8.38144778647349,5.2280593631777e-17,9.75608359618164e-16
"Solyc10g045500.2",905.417763215894,-2.32848942977093,0.158663279955398,-8.37301126098228,5.61642361030709e-17,1.04727232227377e-15
"Solyc09g010480.1",187.788083769558,-11.1191036078761,1.21055801834912,-8.35904058665103,6.32303565902979e-17,1.1754036902778e-15
"Solyc06g073270.3",1421.71980719575,-2.07215525695107,0.128617703240439,-8.33598509333334,7.68556033601652e-17,1.42212290260471e-15
"Solyc04g014990.2",143.66425509984,-8.37094730143208,0.886400284465791,-8.31559672374693,9.12917541003278e-17,1.68795449853751e-15
"Solyc06g048633.1",319.959451380421,-6.98016339204423,0.720078626125087,-8.30487557202594,9.99241073330143e-17,1.84052284894026e-15
"Solyc09g009830.3",442.501424021751,-4.28211547760991,0.395478412106116,-8.29910148604835,1.04901730992685e-16,1.93073513417305e-15
"Solyc02g087850.1",942.385879354275,-3.14741513450163,0.258812664883314,-8.29717948876184,1.06612242771312e-16,1.96072409346387e-15
"Solyc12g049350.2",466.97668014011,-6.88250760507062,0.70926798305188,-8.29377294003745,1.09711785813329e-16,2.01007961786574e-15
"Solyc06g084170.3",191.140672459889,-11.1453606103577,1.22432438501059,-8.28649721803095,1.16632421711448e-16,2.13202655300971e-15
"Solyc04g015390.2",330.689096941925,-2.84668526215055,0.223064257614822,-8.27871431262342,1.24512250984687e-16,2.27263070792745e-15
"Solyc12g088460.2",812.449684005758,-3.16268209447352,0.261721443118188,-8.26329730077522,1.41702728096311e-16,2.58360847698491e-15
"Solyc03g006240.3",1111.12675137255,-3.37618542390088,0.287579680713829,-8.26270276816056,1.42410538894361e-16,2.5934386457582e-15
"Solyc12g005150.2",4774.2663698845,-2.80727478315435,0.218734720055835,-8.26240471879824,1.42766687198048e-16,2.59796668887652e-15
"Solyc07g022900.3",1088.80780468537,-3.42438484381773,0.293824861341049,-8.25112222550731,1.56913962438334e-16,2.85001884577518e-15
"Solyc09g011980.1",115.356987266137,-5.2750882773276,0.518262333493648,-8.24888864392072,1.59874321411983e-16,2.89836673011402e-15
